alpha,train_r2,val_r2,test_r2,train_mse,val_mse,test_mse
0.1,0.6994526948608866,0.04380236432821205,0.09763352684243298,0.4439293451642085,1.3634891404359355,1.345892066252884
1.0,0.6938036514515824,0.13786580433221296,0.19102383970700154,0.45227337653170263,1.2293594645479629,1.206599123874971
5.0,0.6622898460332487,0.2553456186589568,0.3064243207253188,0.49882146651213916,1.0618392311995433,1.0344777114948824
10.0,0.634264463752593,0.2965769531938307,0.34636464655340604,0.5402169120579557,1.0030454475854635,0.9749061635100857
100.0,0.49279874556058056,0.3524050336996777,0.3909910790253922,0.7491716508505599,0.9234374474593957,0.9083452226995904
